1	1	0
2	1	0
3	1	0
4	1	0
1	2	3
2	2	0
3	2	0
4	2	0
1	3	0
2	3	3
3	3	0
4	3	0
1	4	2
2	4	0
3	4	0
4	4	0
1	5	0
2	5	7
3	5	0
4	5	0
1	6	0
2	6	0
3	6	0
4	6	2
1	7	0
2	7	10
3	7	0
4	7	0
1	8	0
2	8	0
3	8	0
4	8	9
1	9	0
2	9	0
3	9	3
4	9	0
1	10	0
2	10	0
3	10	7
4	10	0
1	11	0
2	11	0
3	11	10
4	11	0
1	12	0
2	12	0
3	12	9
4	12	0
1	13	0
2	13	0
3	13	1
4	13	0
1	14	0
2	14	6
3	14	0
4	14	0
1	15	0
2	15	0
3	15	0
4	15	5
1	16	0
2	16	10
3	16	0
4	16	0
1	17	0
2	17	0
3	17	1
4	17	0
1	18	0
2	18	0
3	18	10
4	18	0
1	19	0
2	19	5
3	19	0
4	19	0
1	20	0
2	20	0
3	20	6
4	20	0
1	21	9
2	21	0
3	21	0
4	21	0
1	22	0
2	22	1
3	22	0
4	22	0
1	23	7
2	23	0
3	23	0
4	23	0
1	24	0
2	24	10
3	24	0
4	24	0
1	25	5
2	25	0
3	25	0
4	25	0
1	26	0
2	26	0
3	26	4
4	26	0
1	27	0
2	27	0
3	27	0
4	27	6
1	28	0
2	28	0
3	28	0
4	28	7
1	29	8
2	29	0
3	29	0
4	29	0
1	30	0
2	30	0
3	30	9
4	30	0
1	31	0
2	31	0
3	31	3
4	31	0
1	32	9
2	32	0
3	32	0
4	32	0
1	33	0
2	33	0
3	33	0
4	33	3
1	34	0
2	34	0
3	34	10
4	34	0
1	35	0
2	35	0
3	35	0
4	35	7
1	36	0
2	36	1
3	36	0
4	36	0
1	37	3
2	37	0
3	37	0
4	37	0
1	38	0
2	38	7
3	38	0
4	38	0
1	39	0
2	39	0
3	39	0
4	39	10
1	40	8
2	40	0
3	40	0
4	40	0
1	41	7
2	41	0
3	41	0
4	41	0
1	42	0
2	42	3
3	42	0
4	42	0
1	43	0
2	43	0
3	43	6
4	43	0
1	44	0
2	44	0
3	44	0
4	44	10
1	45	0
2	45	0
3	45	10
4	45	0
1	46	0
2	46	4
3	46	0
4	46	0
1	47	0
2	47	0
3	47	4
4	47	0
1	48	0
2	48	7
3	48	0
4	48	0
1	49	0
2	49	0
3	49	10
4	49	0
1	50	5
2	50	0
3	50	0
4	50	0
1	51	0
2	51	8
3	51	0
