1	1	0
2	1	0
3	1	0
4	1	0
1	2	0
2	2	0
3	2	10
4	2	0
1	3	4
2	3	0
3	3	0
4	3	0
1	4	0
2	4	0
3	4	0
4	4	3
1	5	0
2	5	0
3	5	10
4	5	0
1	6	0
2	6	0
3	6	0
4	6	7
1	7	0
2	7	3
3	7	0
4	7	0
1	8	0
2	8	1
3	8	0
4	8	0
1	9	6
2	9	0
3	9	0
4	9	0
1	10	0
2	10	0
3	10	0
4	10	2
1	11	0
2	11	0
3	11	9
4	11	0
1	12	7
2	12	0
3	12	0
4	12	0
1	13	0
2	13	0
3	13	5
4	13	0
1	14	0
2	14	0
3	14	7
4	14	0
1	15	0
2	15	0
3	15	3
4	15	0
1	16	4
2	16	0
3	16	0
4	16	0
1	17	0
2	17	0
3	17	9
4	17	0
1	18	1
2	18	0
3	18	0
4	18	0
1	19	0
2	19	0
3	19	0
4	19	10
1	20	9
2	20	0
3	20	0
4	20	0
1	21	3
2	21	0
3	21	0
4	21	0
1	22	0
2	22	3
3	22	0
4	22	0
1	23	9
2	23	0
3	23	0
4	23	0
1	24	0
2	24	0
3	24	9
4	24	0
1	25	0
2	25	0
3	25	0
4	25	7
1	26	0
2	26	4
3	26	0
4	26	0
1	27	3
2	27	0
3	27	0
4	27	0
1	28	5
2	28	0
3	28	0
4	28	0
1	29	0
2	29	0
3	29	0
4	29	2
1	30	0
2	30	9
3	30	0
4	30	0
1	31	0
2	31	0
3	31	0
4	31	9
1	32	0
2	32	0
3	32	0
4	32	4
1	33	0
2	33	6
3	33	0
4	33	0
1	34	0
2	34	0
3	34	10
4	34	0
1	35	0
2	35	0
3	35	9
4	35	0
1	36	3
2	36	0
3	36	0
4	36	0
1	37	0
2	37	0
3	37	0
4	37	6
1	38	0
2	38	0
3	38	0
4	38	7
1	39	0
2	39	0
3	39	6
4	39	0
1	40	0
2	40	0
3	40	0
4	40	3
1	41	0
2	41	10
3	41	0
4	41	0
1	42	0
2	42	1
3	42	0
4	42	0
1	43	0
2	43	6
3	43	0
4	43	0
1	44	0
2	44	6
3	44	0
4	44	0
1	45	0
2	45	0
3	45	0
4	45	10
1	46	0
2	46	0
3	46	8
4	46	0
1	47	0
2	47	3
3	47	0
4	47	0
1	48	0
2	48	4
3	48	0
4	48	0
1	49	0
2	49	1
3	49	0
4	49	0
1	50	6
2	50	0
3	50	0
4	50	0
1	51	0
2	51	0
3	51	0
