1	1	0
2	1	0
3	1	0
4	1	0
1	2	0
2	2	0
3	2	6
4	2	0
1	3	3
2	3	0
3	3	0
4	3	0
1	4	3
2	4	0
3	4	0
4	4	0
1	5	0
2	5	5
3	5	0
4	5	0
1	6	4
2	6	0
3	6	0
4	6	0
1	7	0
2	7	0
3	7	4
4	7	0
1	8	0
2	8	0
3	8	4
4	8	0
1	9	0
2	9	5
3	9	0
4	9	0
1	10	0
2	10	0
3	10	0
4	10	5
1	11	0
2	11	0
3	11	2
4	11	0
1	12	7
2	12	0
3	12	0
4	12	0
1	13	4
2	13	0
3	13	0
4	13	0
1	14	0
2	14	0
3	14	8
4	14	0
1	15	0
2	15	0
3	15	2
4	15	0
1	16	0
2	16	10
3	16	0
4	16	0
1	17	0
2	17	0
3	17	0
4	17	2
1	18	0
2	18	0
3	18	10
4	18	0
1	19	0
2	19	0
3	19	0
4	19	4
1	20	0
2	20	0
3	20	10
4	20	0
1	21	0
2	21	0
3	21	0
4	21	3
1	22	0
2	22	9
3	22	0
4	22	0
1	23	0
2	23	0
3	23	8
4	23	0
1	24	0
2	24	1
3	24	0
4	24	0
1	25	0
2	25	0
3	25	0
4	25	3
1	26	0
2	26	0
3	26	4
4	26	0
1	27	0
2	27	0
3	27	0
4	27	8
1	28	0
2	28	0
3	28	1
4	28	0
1	29	8
2	29	0
3	29	0
4	29	0
1	30	0
2	30	4
3	30	0
4	30	0
1	31	0
2	31	0
3	31	2
4	31	0
1	32	0
2	32	0
3	32	0
4	32	5
1	33	6
2	33	0
3	33	0
4	33	0
1	34	0
2	34	8
3	34	0
4	34	0
1	35	0
2	35	0
3	35	0
4	35	9
1	36	0
2	36	0
3	36	8
4	36	0
1	37	3
2	37	0
3	37	0
4	37	0
1	38	0
2	38	0
3	38	6
4	38	0
1	39	1
2	39	0
3	39	0
4	39	0
1	40	0
2	40	0
3	40	10
4	40	0
1	41	10
2	41	0
3	41	0
4	41	0
1	42	5
2	42	0
3	42	0
4	42	0
1	43	0
2	43	8
3	43	0
4	43	0
1	44	0
2	44	0
3	44	0
4	44	4
1	45	0
2	45	2
3	45	0
4	45	0
1	46	0
2	46	0
3	46	2
4	46	0
1	47	6
2	47	0
3	47	0
4	47	0
1	48	0
2	48	1
3	48	0
4	48	0
1	49	8
2	49	0
3	49	0
4	49	0
1	50	3
2	50	0
3	50	0
4	50	0
1	51	0
2	51	0
3	51	4
4	51	0
1	52	0
2	52	0
3	52	5
4	52	0
1	53	0
2	53	0
3	53	0
4	53	1
1	54	6
2	54	0
3	54	0
4	54	0
1	55	0
2	55	0
3	55	10
4	55	0
1	56	0
2	56	1
3	56	0
4	56	0
1	57	0
2	57	0
3	57	3
4	57	0
1	58	0
2	58	6
3	58	0
4	58	0
1	59	8
2	59	0
3	59	0
4	59	0
1	60	0
2	60	0
3	60	0
4	60	6
1	61	0
2	61	0
3	61	7
4	61	0
1	62	3
2	62	0
3	62	0
4	62	0
1	63	0
2	63	0
3	63	0
4	63	10
1	64	0
2	64	7
3	64	0
4	64	0
1	65	2
2	65	0
3	65	0
4	65	0
1	66	2
2	66	0
3	66	0
4	66	0
1	67	9
2	67	0
3	67	0
4	67	0
1	68	0
2	68	0
3	68	3
4	68	0
1	69	0
2	69	5
3	69	0
4	69	0
1	70	0
2	70	0
3	70	0
4	70	5
1	71	0
2	71	4
3	71	0
4	71	0
1	72	0
2	72	3
3	72	0
4	72	0
1	73	0
2	73	0
3	73	6
4	73	0
1	74	0
2	74	0
3	74	0
4	74	9
1	75	0
2	75	0
3	75	0
4	75	5
1	76	6
2	76	0
3	76	0
4	76	0
1	77	0
2	77	8
3	77	0
4	77	0
1	78	5
2	78	0
3	78	0
4	78	0
1	79	0
2	79	0
3	79	0
4	79	4
1	80	0
2	80	6
3	80	0
4	80	0
1	81	0
2	81	1
3	81	0
4	81	0
1	82	0
2	82	2
3	82	0
4	82	0
1	83	0
2	83	0
3	83	0
4	83	3
1	84	0
2	84	0
3	84	10
4	84	0
1	85	3
2	85	0
3	85	0
4	85	0
1	86	0
2	86	0
3	86	0
4	86	10
1	87	0
2	87	0
3	87	0
4	87	5
1	88	8
2	88	0
3	88	0
4	88	0
1	89	5
2	89	0
3	89	0
4	89	0
1	90	0
2	90	0
3	90	0
4	90	4
1	91	6
2	91	0
3	91	0
4	91	0
1	92	0
2	92	0
3	92	0
4	92	0
