1	1	0
2	1	0
3	1	0
4	1	0
1	2	9
2	2	0
3	2	0
4	2	0
1	3	5
2	3	0
3	3	0
4	3	0
1	4	0
2	4	0
3	4	0
4	4	1
1	5	6
2	5	0
3	5	0
4	5	0
1	6	0
2	6	2
3	6	0
4	6	0
1	7	0
2	7	10
3	7	0
4	7	0
1	8	7
2	8	0
3	8	0
4	8	0
1	9	0
2	9	0
3	9	0
4	9	7
1	10	0
2	10	0
3	10	0
4	10	7
1	11	10
2	11	0
3	11	0
4	11	0
1	12	0
2	12	3
3	12	0
4	12	0
1	13	0
2	13	0
3	13	0
4	13	8
1	14	0
2	14	1
3	14	0
4	14	0
1	15	0
2	15	0
3	15	0
4	15	1
1	16	5
2	16	0
3	16	0
4	16	0
1	17	0
2	17	0
3	17	9
4	17	0
1	18	0
2	18	6
3	18	0
4	18	0
1	19	0
2	19	4
3	19	0
4	19	0
1	20	7
2	20	0
3	20	0
4	20	0
1	21	0
2	21	0
3	21	5
4	21	0
1	22	0
2	22	0
3	22	0
4	22	9
1	23	0
2	23	10
3	23	0
4	23	0
1	24	10
2	24	0
3	24	0
4	24	0
1	25	0
2	25	0
3	25	2
4	25	0
1	26	9
2	26	0
3	26	0
4	26	0
1	27	0
2	27	5
3	27	0
4	27	0
1	28	6
2	28	0
3	28	0
4	28	0
1	29	0
2	29	0
3	29	0
4	29	9
1	30	0
2	30	3
3	30	0
4	30	0
1	31	0
2	31	0
3	31	1
4	31	0
1	32	0
2	32	0
3	32	0
4	32	10
1	33	0
2	33	0
3	33	3
4	33	0
1	34	8
2	34	0
3	34	0
4	34	0
1	35	8
2	35	0
3	35	0
4	35	0
1	36	0
2	36	2
3	36	0
4	36	0
1	37	7
2	37	0
3	37	0
4	37	0
1	38	0
2	38	0
3	38	6
4	38	0
1	39	0
2	39	5
3	39	0
4	39	0
1	40	0
2	40	0
3	40	0
4	40	4
1	41	0
2	41	0
3	41	10
4	41	0
1	42	10
2	42	0
3	42	0
4	42	0
1	43	0
2	43	0
3	43	0
4	43	5
1	44	0
2	44	6
3	44	0
4	44	0
1	45	0
2	45	0
3	45	5
4	45	0
1	46	4
2	46	0
3	46	0
4	46	0
1	47	0
2	47	0
3	47	5
4	47	0
1	48	0
2	48	0
3	48	2
4	48	0
1	49	4
2	49	0
3	49	0
4	49	0
1	50	0
2	50	0
3	50	1
4	50	0
1	51	0
2	51	0
3	51	0
4	51	4
1	52	0
2	52	6
3	52	0
4	52	0
1	53	0
2	53	0
3	53	7
4	53	0
1	54	0
2	54	0
3	54	4
4	54	0
1	55	0
2	55	2
3	55	0
4	55	0
1	56	0
2	56	5
3	56	0
4	56	0
1	57	0
2	57	0
3	57	0
4	57	4
1	58	0
2	58	9
3	58	0
4	58	0
1	59	0
2	59	6
3	59	0
4	59	0
1	60	0
2	60	6
3	60	0
4	60	0
1	61	5
2	61	0
3	61	0
4	61	0
1	62	3
2	62	0
3	62	0
4	62	0
1	63	0
2	63	0
3	63	0
4	63	1
1	64	0
2	64	0
3	64	0
4	64	6
1	65	5
2	65	0
3	65	0
4	65	0
1	66	0
2	66	0
3	66	0
4	66	8
1	67	0
2	67	0
3	67	0
4	67	3
1	68	0
2	68	0
3	68	7
4	68	0
1	69	0
2	69	0
3	69	2
4	69	0
1	70	8
2	70	0
3	70	0
4	70	0
1	71	3
2	71	0
3	71	0
4	71	0
1	72	0
2	72	0
3	72	4
4	72	0
1	73	0
2	73	0
3	73	7
4	73	0
1	74	0
2	74	0
3	74	0
4	74	5
1	75	2
2	75	0
3	75	0
4	75	0
1	76	0
2	76	0
3	76	0
4	76	9
1	77	7
2	77	0
3	77	0
4	77	0
1	78	0
2	78	0
3	78	0
4	78	9
1	79	0
2	79	0
3	79	0
4	79	5
1	80	0
2	80	0
3	80	3
4	80	0
1	81	0
2	81	10
3	81	0
4	81	0
1	82	2
2	82	0
3	82	0
4	82	0
1	83	0
2	83	0
3	83	3
4	83	0
1	84	0
2	84	0
3	84	2
4	84	0
1	85	0
2	85	3
3	85	0
4	85	0
1	86	0
2	86	0
3	86	5
4	86	0
1	87	0
2	87	0
3	87	0
4	87	2
1	88	0
2	88	1
3	88	0
4	88	0
1	89	0
2	89	0
3	89	0
4	89	2
1	90	0
2	90	0
3	90	5
4	90	0
1	91	4
2	91	0
3	91	0
4	91	0
1	92	0
2	92	0
3	92	0
4	92	0
