1	1	0
2	1	0
3	1	0
4	1	0
1	2	0
2	2	3
3	2	0
4	2	0
1	3	1
2	3	0
3	3	0
4	3	0
1	4	0
2	4	0
3	4	0
4	4	2
1	5	2
2	5	0
3	5	0
4	5	0
1	6	0
2	6	0
3	6	0
4	6	7
1	7	0
2	7	0
3	7	0
4	7	5
1	8	0
2	8	3
3	8	0
4	8	0
1	9	3
2	9	0
3	9	0
4	9	0
1	10	0
2	10	0
3	10	7
4	10	0
1	11	6
2	11	0
3	11	0
4	11	0
1	12	9
2	12	0
3	12	0
4	12	0
1	13	7
2	13	0
3	13	0
4	13	0
1	14	4
2	14	0
3	14	0
4	14	0
1	15	0
2	15	6
3	15	0
4	15	0
1	16	8
2	16	0
3	16	0
4	16	0
1	17	0
2	17	0
3	17	0
4	17	8
1	18	0
2	18	0
3	18	10
4	18	0
1	19	0
2	19	0
3	19	10
4	19	0
1	20	0
2	20	0
3	20	0
4	20	10
1	21	9
2	21	0
3	21	0
4	21	0
1	22	9
2	22	0
3	22	0
4	22	0
1	23	10
2	23	0
3	23	0
4	23	0
1	24	0
2	24	10
3	24	0
4	24	0
1	25	0
2	25	0
3	25	0
4	25	3
1	26	0
2	26	8
3	26	0
4	26	0
1	27	0
2	27	7
3	27	0
4	27	0
1	28	0
2	28	0
3	28	0
4	28	7
1	29	0
2	29	0
3	29	0
4	29	7
1	30	0
2	30	0
3	30	5
4	30	0
1	31	0
2	31	0
3	31	0
4	31	2
1	32	5
2	32	0
3	32	0
4	32	0
1	33	0
2	33	0
3	33	0
4	33	9
1	34	0
2	34	0
3	34	3
4	34	0
1	35	0
2	35	0
3	35	0
4	35	3
1	36	0
2	36	1
3	36	0
4	36	0
1	37	8
2	37	0
3	37	0
4	37	0
1	38	2
2	38	0
3	38	0
4	38	0
1	39	0
2	39	10
3	39	0
4	39	0
1	40	8
2	40	0
3	40	0
4	40	0
1	41	7
2	41	0
3	41	0
4	41	0
1	42	0
2	42	0
3	42	0
4	42	10
1	43	7
2	43	0
3	43	0
4	43	0
1	44	0
2	44	0
3	44	2
4	44	0
1	45	3
2	45	0
3	45	0
4	45	0
1	46	0
2	46	0
3	46	10
4	46	0
1	47	0
2	47	0
3	47	0
4	47	8
1	48	0
2	48	2
3	48	0
4	48	0
1	49	0
2	49	9
3	49	0
4	49	0
1	50	7
2	50	0
3	50	0
4	50	0
1	51	0
2	51	9
3	51	0
4	51	0
1	52	0
2	52	0
3	52	0
4	52	7
1	53	0
2	53	6
3	53	0
4	53	0
1	54	0
2	54	3
3	54	0
4	54	0
1	55	0
2	55	2
3	55	0
4	55	0
1	56	0
2	56	0
3	56	8
4	56	0
1	57	0
2	57	0
3	57	0
4	57	5
1	58	0
2	58	0
3	58	0
4	58	4
1	59	0
2	59	0
3	59	0
4	59	5
1	60	0
2	60	8
3	60	0
4	60	0
1	61	4
2	61	0
3	61	0
4	61	0
1	62	0
2	62	0
3	62	0
4	62	0
