1	1	0
2	1	0
3	1	0
4	1	0
1	2	0
2	2	0
3	2	0
4	2	5
1	3	0
2	3	3
3	3	0
4	3	0
1	4	8
2	4	0
3	4	0
4	4	0
1	5	0
2	5	0
3	5	2
4	5	0
1	6	0
2	6	0
3	6	0
4	6	3
1	7	1
2	7	0
3	7	0
4	7	0
1	8	0
2	8	0
3	8	10
4	8	0
1	9	0
2	9	0
3	9	3
4	9	0
1	10	0
2	10	0
3	10	0
4	10	1
1	11	9
2	11	0
3	11	0
4	11	0
1	12	7
2	12	0
3	12	0
4	12	0
1	13	0
2	13	3
3	13	0
4	13	0
1	14	0
2	14	0
3	14	0
4	14	6
1	15	0
2	15	7
3	15	0
4	15	0
1	16	3
2	16	0
3	16	0
4	16	0
1	17	0
2	17	0
3	17	3
4	17	0
1	18	0
2	18	0
3	18	4
4	18	0
1	19	0
2	19	0
3	19	0
4	19	3
1	20	0
2	20	0
3	20	7
4	20	0
1	21	0
2	21	2
3	21	0
4	21	0
1	22	0
2	22	0
3	22	0
4	22	10
1	23	0
2	23	0
3	23	7
4	23	0
1	24	0
2	24	4
3	24	0
4	24	0
1	25	0
2	25	3
3	25	0
4	25	0
1	26	0
2	26	0
3	26	4
4	26	0
1	27	9
2	27	0
3	27	0
4	27	0
1	28	0
2	28	0
3	28	0
4	28	9
1	29	0
2	29	0
3	29	0
4	29	1
1	30	0
2	30	8
3	30	0
4	30	0
1	31	0
2	31	4
3	31	0
4	31	0
1	32	0
2	32	0
3	32	0
4	32	0
